Date,MIN,MAX,Modal
04-09-2018,3800,13000,10200
05-09-2018,4000,11200,10000
06-09-2018,3200,12200,9300
07-09-2018,3800,10600,9500
08-09-2018,NO TRANSACTIONS DUE TO SATURDAY,,
09-09-2018,NO TRANSACTIONS DUE TO SUNDAY,,
10-09-2018,3000,13000,10200
11-09-2018,3300,12600,10200
12-09-2018,3000,10700,9500
13-09-2018,'NO TRANSACTIONS DUE TO VINAYAKACHAVITI,,
14-09-2018,2000,12500,10500
15-09-2018,NO TRANSACTIONS DUE TO SATURDAY,,
16-09-2018,NO TRANSACTIONS DUE TO SUNDAY,,
17-09-2018,3000,11000,10400
18-09-2018,3300,12200,10400
19-09-2018,1300,10800,10200
20-09-2018,3700,13600,10400
21-09-2018,NO TRANSACTIONS DUE TO MOHARAM,,
22-09-2018,NO TRANSACTIONS DUE TO SATURDAY,,
23-09-2018,NO TRANSACTIONS DUE TO SUNDAY,,
24-09-2018,3000,12000,10200
25-09-2018,4000,14000,10400
26-09-2018,2000,12000,10500
27-09-2018,4600,12000,10400
28-09-2018,3500,10900,10300
29-09-2018,NO TRANSACTIONS DUE TO MOHARAM,,
30-09-2018,NO TRANSACTIONS DUE TO SATURDAY,,
01-10-2018,4200,12500,10500
02-10-2018,NO TRANSACTIONS DUE TO GANDI JAYANTHI,,
03-10-2018,3400,14000,10000
04-10-2018,3500,10900,10200
05-10-2018,4000,11800,10200
06-10-2018,NO TRANSACTIONS DUE TO SATURDAY,,
07-10-2018,NO TRANSACTIONS DUE TO SUNDAY,,
08-10-2018,3300,13200,10500
09-10-2018,3600,13200,10500
10-10-2018,3000,10900,9800
11-10-2018,4500,10700,10600
12-10-2018,3000,14100,10600
13-10-2018,NO TRANSACTIONS DUE TO SATURDAY,,
14-10-2018,NO TRANSACTIONS DUE TO SUNDAY,,
15-10-2018,4100,12000,10000
16-10-2018,3600,13400,9500
17-10-2018,NO TRANSACTIONS DUE TO DURGASTAMI,,
18-10-2018,NO TRANSACTIONS DUE TO VIJAYADASAMI,,
19-10-2018,NO TRANSACTIONS ,,
20-10-2018,NO TRANSACTIONS DUE TO SATURDAY,,
21-10-2018,NO TRANSACTIONS DUE TO SUNDAY,,
22-10-2018,3300,13000,10500
23-10-2018,3700,11000,10000
24-10-2018,3000,13800,9200
25-10-2018,3500,11000,10700
26-10-2018,3300,11100,10400
27-10-2018,NO TRANSACTIONS DUE TO SATURDAY,,
28-10-2018,NO TRANSACTIONS DUE TO SUNDAY,,
29-10-2018,3000,14500,10400
30-10-2018,3000,12500,11000
31-10-2018,2000,12000,10500
01-11-2018,3300,14800,10700
02-11-2018,3700,12500,11600
03-11-2018,NO TRANSACTIONS DUE TO SATURDAY,,
04-11-2018,NO TRANSACTIONS DUE TO SUNDAY,,
05-11-2018,3200,13000,11500
06-11-2018,4000,13000,11500
07-11-2018,NO TRANSACTIONS DUE TO DIWALI,,
08-11-2018,4200,15000,11500
09-11-2018,4500,14500,11600
10-11-2018,NO TRANSACTIONS DUE TO SATURDAY,,
11-11-2018,NO TRANSACTIONS DUE TO SUNDAY,,
12-11-2018,3200,12100,11600
13-11-2018,3400,14100,11500
14-11-2018,3900,12200,11500
15-11-2018,3200,14000,10000
16-11-2018,4700,14500,11500
17-11-2018,NO TRANSACTIONS DUE TO SATURDAY,,
18-11-2018,NO TRANSACTIONS DUE TO SUNDAY,,
19-11-2018,2500,14800,11000
20-11-2018,3300,13500,11500
21-11-2018,NO TRANSACTIONS DUE TO MILADULNABI,,
22-11-2018,3000,15200,10500
23-11-2018,3700,13000,8500
24-11-2018,NO TRANSACTIONS DUE TO SATURDAY,,
25-11-2018,NO TRANSACTIONS DUE TO SUNDAY,,
26-11-2018,4000,13800,11000
27-11-2018,3300,14500,9800
28-11-2018,3600,13400,10400
29-11-2018,4500,14000,10900
30-11-2018,4300,13500,10800
01-12-2018,NO TRANSACTIONS DUE TO SATURDAY,,
02-12-2018,NO TRANSACTIONS DUE TO SUNDAY,,
03-12-2018,3000,15300,8500
04-12-2018,4300,13000,10000
05-12-2018,3800,11500,9100
06-12-2018,4500,14000,10600
07-12-2018,4000,13000,7600
08-12-2018,NO TRANSACTIONS DUE TO SATURDAY,,
09-12-2018,NO TRANSACTIONS DUE TO SUNDAY,,
10-12-2018,4000,13600,10800
11-12-2018,3300,13500,9500
12-12-2018,4500,11000,9500
13-12-2018,4000,13500,10600
14-12-2018,4000,12500,10000
15-12-2018,NO TRANSACTIONS DUE TO SATURDAY,,
16-12-2018,NO TRANSACTIONS DUE TO SUNDAY,,
17-12-2018,3100,12500,10000
18-12-2018,2000,11000,9000
19-12-2018,3000,14300,10800
20-12-2018,1800,13300,9000
21-12-2018,4000,13600,8700
22-12-2018,NO TRANSACTIONS DUE TO SATURDAY,,
23-12-2018,NO TRANSACTIONS DUE TO SUNDAY,,
24-12-2018,3000,13000,8800
25-12-2018,NO TRANSACTIONS DUE TO X-MAS,,
26-12-2018,3000,14000,8500
27-12-2018,3300,12000,8500
28-12-2018,3200,10500,8600
29-12-2018,NO TRANSACTIONS DUE TO SATURDAY,,
30-12-2018,NO TRANSACTIONS DUE TO SUNDAY,,
31-12-2018,2800,10500,8500
